uid,address,last_modified,title,description,new_page,filename_updated,division,collection,publication,osh,,,,,,,,,,
L0706,http://www.nclabor.com/osha/PublicSN/SN61A.pdf,"Wed, 06 Sep 2006 17:14:27 GMT",Residential Construction - Foundation or Basement Excavations,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0415,http://www.nclabor.com/osha/compliance/publicopn/opn127.pdf,"Wed, 01 Feb 2006 19:09:52 GMT",Respirator Use Policy under the Cotton Dust Standard,Respirator Use Policy under the Cotton Dust Standard,N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0567,http://www.nclabor.com/osha/etta/exampleprograms/Respiratory_Program_Voluntary_for_Filtering_Facepieces(only).doc|http://www.nclabor.com/osha/etta/exampleprograms/Respiratory_Program_Voluntary_Use.doc|http://www.nclabor.com/osha/etta/exampleprograms/Respiratory_Protection_Program.doc,"Thu, 10 Jul 2014 20:39:09 GMT",Respiratory Protection Program,"These documents contain customizable example programs for respiratory protection.  There is one for voluntary use respirators, one for voluntary use filtering facepiece respirators, and one for required respirator use.",N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0713,http://www.nclabor.com/osha/PublicSN/SN70B.pdf,"Wed, 24 Apr 2013 22:36:21 GMT",Revised ASTM standards for Foot Protection,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0208,http://www.nclabor.com/elevator/operator_trng_sheet.pdf,"Thu, 08 Dec 2005 23:52:32 GMT",Rider Safety Campaign - Operator Safety Meeting,operator safety meeting information,N,N,Elevator,,,,,,,,,,,,,
L0184,http://www.nclabor.com/elevator/Memos/SafetyAlert_Kone_E5000.pdf,"Wed, 07 Oct 2015 22:16:34 GMT",Safety Alert - KONE E5000 Escalators,safety alert for KONE E5000 Escalators,N,N,Elevator,,,,,,,,,,,,,
L0477,http://www.nclabor.com/osha/etta/brochures/br1650.pdf,"Wed, 01 Mar 2017 22:25:50 GMT",Safety Awards Program Brochure,Brochure with an overview of Safety Awards Program,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0470,http://www.nclabor.com/osha/etta/b1100.pdf,"Thu, 02 Mar 2017 01:14:48 GMT",Safety Briefings General Industry Topics Brochure,"Informational booklet intended to provide a generic, non exhaustive overview of particular standards related topics",N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0132,http://www.nclabor.com/elevator/Memos/Amusement_Co_Spider_and_Expo_Wheels.pdf,"Tue, 18 Mar 2014 21:25:44 GMT",Safety Notice - Spider and Expo Wheels,amusement safety notice and ,N,N,Elevator,,,,,,,,,,,,,
L0565,http://www.nclabor.com/osha/etta/exampleprograms/Residential_Fall_Protection.doc,"Thu, 10 Jul 2014 20:38:19 GMT",Sample Fall Protection Plan For Residential Construction,This document contains a customizable example program for residential fall protection.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0694,http://www.nclabor.com/osha/PublicSN/SN24A.pdf,"Wed, 06 Sep 2006 17:14:11 GMT",Scaffolding,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0715,http://www.nclabor.com/osha/PublicSN/SN72.pdf,"Mon, 15 Dec 2008 15:22:38 GMT",Security of Compressed Gas Cylinders at Compressed Gas Supplier and Distribution Facilities,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0022,http://www.nclabor.com/ash/publications/Forklift_Safety_Broch_Span.pdf,"Mon, 12 May 2008 13:53:35 GMT",Seguridad Con El Montacargas Brochure,Brochure on guidlines for forklift safety in Spanish,N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0573,http://www.nclabor.com/osha/etta/exampleprograms/Self_Inspection_Checklist.doc,"Wed, 02 Feb 2011 01:59:06 GMT",Self-Inspection Checklist,This document contains a customizable example checklist for workplace self-inspections.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0437,http://www.nclabor.com/osha/consult/sharp/SHARP_Annual_Review_form.pdf,"Thu, 29 Sep 2016 00:17:21 GMT",Sharp Site Letter from Kevin O'Barr,Sharp Site Letter from Kevin O'Barr,N,N,OSH,Forms,,,,,,,,,,,,
L0412,http://www.nclabor.com/osha/compliance/publicopn/opn116e.pdf,"Thu, 14 Mar 2013 18:34:48 GMT",Special Emphasis Inspection Program (SEP) for Allegations of Chemical Hazards on Farms.,Special Emphasis Inspection Program (SEP) for Allegations of Chemical Hazards on Farms.,N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0420,http://www.nclabor.com/osha/compliance/publicopn/opn135g.pdf,"Fri, 14 Feb 2014 02:01:53 GMT",Special Emphasis Program for Exposures to Health Hazards,Special Emphasis Program for Exposures to Health Hazards,N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0422,http://www.nclabor.com/osha/compliance/publicopn/opn140d.pdf,"Thu, 07 Jul 2016 00:12:38 GMT",Special Emphasis Program for Food Manufacturing Facilities,Special Emphasis Program for Food Manufacturing Facilities,N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0426,http://www.nclabor.com/osha/compliance/publicopn/opn145b.pdf,"Sat, 11 Mar 2017 01:15:25 GMT",Special Emphasis Program for Grocery and Related Product Merchant Wholesalers," This Operational Procedure Notice (OPN) describes the North Carolina Department of Labor (NCDOL) Occupational Safety and Health (OSH) Divisions Special Emphasis Program (SEP) for inspections of establishments in North American Industry Classification System (NAICS) sector 4244, Grocery and Related Product Merchant Wholesalers. ",N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0430,http://www.nclabor.com/osha/compliance/publicopn/opn88h.pdf,"Thu, 24 Mar 2016 23:25:55 GMT",Special Emphasis Program for Logging and Arboriculture," This Operational Procedure Notice (OPN) establishes a Special Emphasis Program (SEP) to address the hazards associated with logging, tree harvesting, tree removal operations and arboricultural operations. This effort will include consultation efforts, education/training activities and safety inspections. ",N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0419,http://www.nclabor.com/osha/compliance/publicopn/opn132g.pdf,"Wed, 17 Aug 2016 17:09:43 GMT",Special Emphasis Program for Long Term Care Facilities,Special Emphasis Program for Long Term Care Facilities,N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0432,http://www.nclabor.com/osha/compliance/publicopn/opn95h.pdf,"Wed, 09 Nov 2011 01:55:28 GMT",Special Emphasis Program for Reinspection of Employers Who Have Had a Fatality in the Workplace," This OPN establishes a Special Emphasis Program for employers who have experienced a fatality at their worksite and who have been cited for a violation of the standards ",N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0663,http://www.nclabor.com/osha/etta/safety_programs/SSTM_Training_brochure.pdf,"Tue, 17 Nov 2015 23:17:35 GMT",Special Star Team Member 2016 Initial Certification Training,,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0662,http://www.nclabor.com/osha/etta/safety_programs/SSTM_Policies.pdf,"Mon, 14 Mar 2016 22:44:07 GMT",Special Star Team Member Program Policies and Procedures,,N,N,OSH,Manuals,,,,,,,,,,,,
L0710,http://www.nclabor.com/osha/PublicSN/SN66.pdf,"Wed, 06 Sep 2006 17:14:34 GMT",Spring Brake System or Dock Lock used in lieu of Chocking as Means to Secure Trucks or Trailers at a Loading Dock; ref. 29 CFR 1910.178(k)(1) and (m)(7):,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0579,http://www.nclabor.com/osha/etta/exampleprograms/Tower_Crane_Preshift_Inspection.doc,"Thu, 10 Jul 2014 21:29:58 GMT",Standard Tower Crane (For Crane Operators),This document contains a customizable example checklist for pre-shift tower crane inspections.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0702,http://www.nclabor.com/osha/PublicSN/SN54A.pdf,"Wed, 06 Sep 2006 17:14:21 GMT",Standby Personnel at Telecommunications Manhole,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0779,http://www.nclabor.com/osha/star/docs/STAR_Annual_Report.pdf,"Mon, 14 Mar 2016 22:44:59 GMT",Star Annual Report Guidlines,Star Annual Report Guidlines,N,N,OSH,Manuals,,,,,,,,,,,,
L0780,http://www.nclabor.com/osha/star/docs/STAR_Application.pdf,"Fri, 01 Jun 2012 19:52:33 GMT",Star Program Application,Star Program Application,N,N,OSH,Forms,,,,,,,,,,,,
L0781,http://www.nclabor.com/osha/star/docs/STAR_Policies_Procedures.pdf,"Tue, 25 Apr 2017 20:52:02 GMT",Star Program Policies and Procedures Manual,Star Program Policies and Procedures Manual,N,N,OSH,Manuals,,,,,,,,,,,,
L0086,http://www.nclabor.com/dol_statistics/psim/07_08_Comp.pdf,"Tue, 15 Dec 2015 23:08:54 GMT",STATE AND FEDERAL COMPARISONS October 2007September 2008,STATE AND FEDERAL COMPARISONS October 2007September 2009,N,N,OSH ,Reports,,,,,,,,,,,,
L0414,http://www.nclabor.com/osha/compliance/publicopn/opn121d.pdf,"Wed, 07 Jul 2010 15:34:46 GMT",Steel Erection Standard,Steel Erection Standard,N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0424,http://www.nclabor.com/osha/compliance/publicopn/opn143.pdf,"Tue, 19 Nov 2013 01:26:31 GMT",Suitable facilities for drenching or flushing the eyes or body.,Suitable facilities for drenching or flushing the eyes or body.,N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0118,http://www.nclabor.com/elevator/Memo-Telecomm%20Towers.pdf,"Mon, 15 May 2006 17:30:50 GMT",Telecommunication TowerRegulation Notification,Notification that telecommunication towers will no longer be regulated by NCDOL,N,N,Elevator,Elevator and Amusement Device Notices,,,,,,,,,,,,
L0427,http://www.nclabor.com/osha/compliance/publicopn/opn146.pdf,"Mon, 28 Sep 2015 19:47:18 GMT",Temporary Worker Inspection Activity," The purpose of this operational procedure notice (OPN) is to provide the North Carolina Department of Labor (NCDOL), Occupational Safety and Health (OSH) Division guidance on conducting inspections and issuing citations associated with the temporary workforce. ",N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0009,http://www.nclabor.com/ash/cultivator/Cultivator_35.pdf,"Tue, 26 Aug 2014 18:04:17 GMT",The Cultivator Aug. 2014,Official newsletter ,N,N,ASH,Cultivator,,,,,,,,,,,,
L0008,http://www.nclabor.com/ash/cultivator/Cultivator_33.pdf,"Wed, 20 Mar 2013 23:46:47 GMT",The Cultivator Dec. 2012,Official newsletter ,N,N,ASH,Cultivator,,,,,,,,,,,,
L0012,http://www.nclabor.com/ash/cultivator/Cultivator34.pdf,"Tue, 30 Jul 2013 21:24:30 GMT",The Cultivator July 2013,Official newsletter ,N,N,ASH,Cultivator,,,,,,,,,,,,
L0011,http://www.nclabor.com/ash/cultivator/Cultivator_37.pdf,"Fri, 18 Nov 2016 21:07:33 GMT",The Cultivator Nov. 2016,Official newsletter ,N,N,ASH,Cultivator,,,,,,,,,,,,
L0010,http://www.nclabor.com/ash/cultivator/Cultivator_36.pdf,"Tue, 13 Oct 2015 22:04:59 GMT",The Cultivator Sept. 2015,Official newsletter ,N,N,ASH,Cultivator,,,,,,,,,,,,
L0709,http://www.nclabor.com/osha/PublicSN/SN65.pdf,"Wed, 06 Sep 2006 17:14:32 GMT",The Use of Warning Lines Alone For Fall Protection on Low Sloped Roofs,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0410,http://www.nclabor.com/osha/compliance/publicopn/opn101d.pdf,"Wed, 29 Jun 2011 21:43:46 GMT",Third Party Litigation,Third Party Litigation,N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0021,http://www.nclabor.com/ash/publications/Baler_Safety_Broch.pdf,"Mon, 12 May 2008 13:53:40 GMT",Tobacco Baler Safety Brochure,Brochure on guidlines for tobacco baler safety,N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0024,http://www.nclabor.com/ash/publications/Harvester_Safety_Broch.pdf,"Mon, 12 May 2008 13:53:35 GMT",Tobacco Harvester Safety Brochure,Brochure on guidlines for tobacco harvester safety,N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0469,http://www.nclabor.com/osha/etta/b1000.pdf,"Thu, 02 Mar 2017 00:59:37 GMT",Toolbox Reviews Construction Topics,"Informational booklet intended to provide a generic, non exhaustive overview of particular standards related topics",N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0068,http://www.nclabor.com/dol_statistics/cited/02_05_OSH_MF.pdf,"Tue, 23 Oct 2007 18:34:25 GMT",Top 25 Most Frequently Cited Serious Construction Standards October 2004September 2005,Top 25 Most Frequently Cited Serious Construction Standards October 2004September 2005,N,N,OSH ,Reports,,,,,,,,,,,,
L0069,http://www.nclabor.com/dol_statistics/cited/07_08_OSH_MF.pdf,"Tue, 15 Dec 2015 19:51:30 GMT",Top 25 Most Frequently Cited Serious Construction Standards October 2007September 2008,Top 25 Most Frequently Cited Serious Construction Standards October 2007September 2008,N,N,OSH,Reports,,,,,,,,,,,,
L0070,http://www.nclabor.com/dol_statistics/cited/08_09_OSH_MFC.pdf,"Fri, 04 Jan 2013 19:48:47 GMT",Top 25 Most Frequently Cited Serious Construction Standards October 2008September 2009,Top 25 Most Frequently Cited Serious Construction Standards October 2008September 2009,N,N,OSH ,Reports,,,,,,,,,,,,
L0071,http://www.nclabor.com/dol_statistics/cited/09_10_OSH_MFC.pdf,"Fri, 04 Jan 2013 19:47:10 GMT",Top 25 Most Frequently Cited Serious Construction Standards October 2009September 2010,Top 25 Most Frequently Cited Serious Construction Standards October 2009September 2010,N,N,OSH ,Reports,,,,,,,,,,,,
L0072,http://www.nclabor.com/dol_statistics/cited/10_11_OSH_MFC.pdf,"Fri, 04 Jan 2013 19:45:54 GMT",Top 25 Most Frequently Cited Serious Construction Standards October 2010September 2011,Top 25 Most Frequently Cited Serious Construction Standards October 2010September 2011,N,N,OSH ,Reports,,,,,,,,,,,,
L0073,http://www.nclabor.com/dol_statistics/cited/11_12_OSH_MFC.pdf,"Mon, 27 Jul 2015 17:21:12 GMT",Top 25 Most Frequently Cited Serious Construction Standards October 2011September 2012,Top 25 Most Frequently Cited Serious Construction Standards October 2011September 2012,N,N,OSH ,Reports,,,,,,,,,,,,
L0074,http://www.nclabor.com/dol_statistics/cited/12_13_OSH_MFC.pdf,"Wed, 02 Sep 2015 23:28:20 GMT",Top 25 Most Frequently Cited Serious Construction Standards October 2012September 2013,Top 25 Most Frequently Cited Serious Construction Standards October 2012September 2013,N,N,OSH ,Reports,,,,,,,,,,,,
L0075,http://www.nclabor.com/dol_statistics/cited/13_14_OSH_MFC.pdf,"Thu, 05 Nov 2015 17:13:57 GMT",Top 25 Most Frequently Cited Serious Construction Standards October 2013September 2014,Top 25 Most Frequently Cited Serious Construction Standards October 2013September 2014,N,N,OSH ,Reports,,,,,,,,,,,,
L0076,http://www.nclabor.com/dol_statistics/cited/14_15_OSH_MFC.pdf,"Fri, 19 Aug 2016 20:56:51 GMT",Top 25 Most Frequently Cited Serious Construction Standards October 2014September 2015,Top 25 Most Frequently Cited Serious Construction Standards October 2014September 2015,N,N,OSH ,Reports,,,,,,,,,,,,
L0037,http://www.nclabor.com/ash/tpostera.pdf|http://www.nclabor.com/ash/tposterb.pdf,"Fri, 07 Feb 2003 14:53:21 GMT",Traffic Laws Poster,Thes are the agriculture safety and health posters for traffic laws.  They are available in English and Spanish.,N,N,ASH,Publications,Posters,,,,,,,,,,,
L0035,http://www.nclabor.com/ash/tbrocha.pdf|http://www.nclabor.com/ash/tbrochb.pdf,"Fri, 07 Feb 2003 14:50:42 GMT",Traffic Signs,These are brochures on traffic signs and are available in English and Spanish.,N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0679,http://www.nclabor.com/osha/etta/train_the_trainer/501_Program_Guide.pdf,"Thu, 13 Apr 2017 23:59:34 GMT",Train the Trainer Program Guidelines General Industry,,N,N,OSH,Manuals,,,,,,,,,,,,
L0681,http://www.nclabor.com/osha/etta/train_the_trainer/Program_Report_Form.pdf,"Thu, 13 Apr 2017 21:36:34 GMT",Train the Trainer Program Report,,N,N,OSH,Forms,,,,,,,,,,,,
L0629,http://www.nclabor.com/osha/etta/MESH/MESH_Training_Record.pdf,"Tue, 26 Apr 2016 20:09:15 GMT",Training Record for MESH Certificate,,N,N,OSH,Forms,,,,,,,,,,,,
L0032,http://www.nclabor.com/ash/safetytips/tuberculosis.pdf,"Tue, 07 Nov 2006 13:20:56 GMT",Tuberculosis Brochure,Brochure detailing signs and symptoms of Tuberculosis,N,N,ASH,Publications,Brochures,,,,,,,,,,,
L0787,http://www.nclabor.com/posters/English/NCDES524_Eng.pdf|http://www.nclabor.com/posters/Spanish/NCDES524_Spanish.pdf,"Wed, 06 Nov 2013 21:48:07 GMT",Unemployment Insurance Poster,This poster contains a Certificate of  Coverage and Notice to Workers as to Benefit Rights.  It is available in English and Spanish.,N,N,OSH,Publications,Posters,,,,,,,,,,,
L0699,http://www.nclabor.com/osha/PublicSN/SN44A.pdf,"Wed, 06 Sep 2006 17:14:20 GMT",Upper and Lower Controls on Vehicle-mounted Elevating and Rotating Work Platforms.,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0133,http://www.nclabor.com/elevator/Memos/Amusement_Ride_Safety_Bulletin.pdf,"Wed, 01 Feb 2017 18:16:27 GMT",US Consumer Product Safety Commission Inflatable Safety Bulltein,federal safety bulletin relating to inflatable amusement devices,N,N,Elevator,,,,,,,,,,,,,
L0196,http://www.nclabor.com/elevator/online_forms/1960_variance_request.pdf,"Mon, 22 Feb 2010 19:20:08 GMT",Variance Requiest Form,varience request for for elevators/scalators,N,N,Elevator,,,,,,,,,,,,,
L0479,http://www.nclabor.com/osha/etta/brochures/br1810-15.pdf,"Wed, 01 Mar 2017 20:47:10 GMT",web page not found,Brochure with an overview of top ten violations,N,N,OSH,Publications,Brochures,,,,,,,,,,,
L0788,http://www.nclabor.com/posters/form17.pdf|http://www.nclabor.com/posters/Spanish/form17_spanish.pdf,"Wed, 17 Jun 2015 23:06:12 GMT",Workers Compensation Notice,This poster contains the Workers Compensation Notice.  It is available in English and Spanish.,N,N,OSH,Publications,Posters,,,,,,,,,,,
L0620,http://www.nclabor.com/osha/etta/indguide/ig51.pdf,"Thu, 05 Dec 2013 00:27:55 GMT","Workplace Violence Prevention Guidlines and Program for Health Care, Long Term Care and Social Services Workers Industry Guide 51",,N,N,OSH,Publications,OSH Industry Guides,,,,,,,,,,,
